epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.131,1.96596,4.23284,1.03334,0.36289,0.59223,0.43272,0.25713,1.46184,2.88501,0.90193,0.000368852,0.000368852,0.000368852
2,263.866,1.46621,2.94867,0.92652,0.58224,0.67152,0.62714,0.38463,1.25596,2.22305,0.88365,0.000714792,0.000714792,0.000714792
3,408.02,1.34032,2.4181,0.90415,0.68759,0.74165,0.77626,0.50308,1.1852,1.80091,0.86654,0.00103629,0.00103629,0.00103629
4,549.34,1.23172,2.03471,0.89286,0.78182,0.83004,0.8557,0.56509,1.11895,1.52034,0.8673,0.00100101,0.00100101,0.00100101
5,686.365,1.20906,1.79924,0.89162,0.80872,0.84719,0.88055,0.59216,1.04333,1.40071,0.85525,0.000964348,0.000964348,0.000964348
6,830.004,1.11179,1.58285,0.8713,0.83236,0.89454,0.91665,0.6545,0.94622,1.20854,0.84247,0.000927685,0.000927685,0.000927685
7,963.896,1.07842,1.47702,0.87076,0.87463,0.92227,0.93972,0.65804,1.01427,1.14695,0.86013,0.000891022,0.000891022,0.000891022
8,1085.68,1.02662,1.40139,0.8649,0.83384,0.88887,0.91492,0.66977,0.89475,1.14577,0.83086,0.000854359,0.000854359,0.000854359
9,1203.96,1.0152,1.3145,0.85441,0.92111,0.93146,0.96114,0.68043,0.89411,1.00039,0.83799,0.000817696,0.000817696,0.000817696
10,1313.78,0.97088,1.20996,0.85765,0.90815,0.94511,0.96416,0.67076,0.97596,0.97209,0.85234,0.000781033,0.000781033,0.000781033
11,1422.52,0.95413,1.12683,0.85877,0.95135,0.9495,0.97542,0.70507,0.86716,0.90403,0.83526,0.00074437,0.00074437,0.00074437
12,1531.7,0.91697,1.09381,0.85324,0.93243,0.94138,0.96981,0.72632,0.83758,0.87943,0.82867,0.000707707,0.000707707,0.000707707
13,1640.84,0.89177,1.05706,0.83824,0.93506,0.96231,0.97201,0.72803,0.88753,0.86491,0.82976,0.000671044,0.000671044,0.000671044
14,1748.74,0.92131,0.98522,0.84949,0.97036,0.97689,0.98921,0.70209,0.90932,0.82202,0.83154,0.000634381,0.000634381,0.000634381
15,1856.69,0.9609,0.98437,0.85283,0.96626,0.96595,0.9864,0.70838,0.92986,0.80982,0.8333,0.000597718,0.000597718,0.000597718
16,1966.02,0.90281,0.90993,0.84615,0.97257,0.97284,0.99127,0.77618,0.75874,0.73572,0.82178,0.000561055,0.000561055,0.000561055
17,2073.9,0.81441,0.86936,0.83955,0.98278,0.97495,0.9888,0.76269,0.75507,0.69856,0.81742,0.000524392,0.000524392,0.000524392
18,2182.16,0.80539,0.82365,0.83079,0.97146,0.9682,0.98951,0.78833,0.73847,0.67999,0.81417,0.000487729,0.000487729,0.000487729
19,2290.63,0.82384,0.82851,0.83708,0.97397,0.97465,0.9905,0.78989,0.73615,0.68131,0.8158,0.000451066,0.000451066,0.000451066
20,2399.47,0.80115,0.81304,0.83967,0.96841,0.97113,0.97696,0.78554,0.69633,0.6615,0.8135,0.000414403,0.000414403,0.000414403
21,2508.23,0.74359,0.7667,0.82102,0.9811,0.9849,0.99387,0.79757,0.70915,0.62927,0.81338,0.00037774,0.00037774,0.00037774
22,2616.7,0.75252,0.74409,0.82186,0.98189,0.96962,0.99232,0.79561,0.69355,0.63984,0.80981,0.000341077,0.000341077,0.000341077
23,2724.71,0.80113,0.76776,0.82927,0.98699,0.97393,0.99151,0.80826,0.66193,0.63014,0.80827,0.000304414,0.000304414,0.000304414
24,2832.71,0.75864,0.74029,0.82356,0.97772,0.97851,0.99245,0.82431,0.63951,0.59458,0.80698,0.000267751,0.000267751,0.000267751
25,2940.95,0.72824,0.72211,0.81521,0.98045,0.98279,0.9917,0.79451,0.72987,0.61434,0.81328,0.000231088,0.000231088,0.000231088
26,3049.19,0.70366,0.68729,0.82292,0.98107,0.98573,0.99385,0.80477,0.69534,0.58773,0.80857,0.000194425,0.000194425,0.000194425
27,3158.45,0.69815,0.681,0.81907,0.97885,0.98626,0.99346,0.81161,0.66975,0.58828,0.80718,0.000157762,0.000157762,0.000157762
28,3268.38,0.71237,0.66918,0.81693,0.98518,0.97773,0.98727,0.8164,0.65563,0.56668,0.8065,0.000121099,0.000121099,0.000121099
29,3378.92,0.69487,0.6744,0.82357,0.98222,0.98684,0.99359,0.81552,0.66775,0.56869,0.80741,8.4436e-05,8.4436e-05,8.4436e-05
30,3490.31,0.67746,0.64398,0.8132,0.98356,0.98472,0.99349,0.8286,0.61986,0.55287,0.80242,4.7773e-05,4.7773e-05,4.7773e-05
