epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2503,0.98624,1.47588,1.01036,0.67689,0.68794,0.71197,0.52141,1.0018,1.83463,1.09535,0.000661905,0.000661905,0.000661905
2,35.0956,0.99211,0.93894,1.02199,0.78218,0.80198,0.77105,0.54914,1.03705,1.55989,1.12125,0.00130227,0.00130227,0.00130227
3,49.458,0.9773,0.79181,1.01337,0.80464,0.84158,0.88123,0.63791,1.02578,1.04706,1.12633,0.00191623,0.00191623,0.00191623
4,63.2587,0.9752,0.70633,1.02443,0.86176,0.83828,0.84421,0.61428,1.01613,0.89701,1.11494,0.0018812,0.0018812,0.0018812
5,77.5799,0.93586,0.63675,1.00709,0.87963,0.86139,0.89138,0.65571,0.98138,0.84244,1.11032,0.0018416,0.0018416,0.0018416
6,91.7131,0.90514,0.5902,0.99544,0.86801,0.88779,0.90414,0.66743,0.99709,0.75011,1.10661,0.001802,0.001802,0.001802
7,105.769,0.88148,0.56935,0.98232,0.91135,0.85149,0.90692,0.66616,0.99109,0.68886,1.08454,0.0017624,0.0017624,0.0017624
8,119.953,0.88232,0.56059,0.98689,0.85056,0.85644,0.88805,0.67694,0.96531,0.76721,1.1063,0.0017228,0.0017228,0.0017228
9,134.201,0.87334,0.53688,0.97559,0.87419,0.82178,0.86964,0.65847,0.95247,0.76248,1.08174,0.0016832,0.0016832,0.0016832
10,148.532,0.87164,0.53582,0.98458,0.83371,0.89274,0.88586,0.66683,0.97134,0.70024,1.08284,0.0016436,0.0016436,0.0016436
11,162.533,0.8485,0.52333,0.9711,0.86272,0.82961,0.85742,0.63667,0.99268,0.75531,1.09649,0.001604,0.001604,0.001604
12,176.53,0.8554,0.51012,0.9764,0.90986,0.88284,0.92269,0.68543,1.01863,0.66983,1.09748,0.0015644,0.0015644,0.0015644
13,190.65,0.8447,0.50161,0.96995,0.89079,0.848,0.89734,0.68846,0.94681,0.71303,1.06985,0.0015248,0.0015248,0.0015248
14,204.707,0.82547,0.48737,0.9642,0.87068,0.85644,0.90148,0.68258,0.98939,0.68714,1.08293,0.0014852,0.0014852,0.0014852
15,218.921,0.82588,0.49017,0.96849,0.88269,0.85644,0.89244,0.67295,0.94239,0.7079,1.08284,0.0014456,0.0014456,0.0014456
16,232.946,0.81522,0.48501,0.96914,0.90098,0.88449,0.92479,0.71631,0.91547,0.62013,1.04985,0.001406,0.001406,0.001406
17,247.265,0.81777,0.47077,0.95795,0.89663,0.87311,0.92025,0.7086,0.90728,0.62955,1.05962,0.0013664,0.0013664,0.0013664
18,261.502,0.80992,0.46472,0.95183,0.91768,0.88299,0.92763,0.69923,0.97406,0.60418,1.08197,0.0013268,0.0013268,0.0013268
19,275.749,0.81719,0.46835,0.95528,0.87041,0.90886,0.90658,0.7068,0.85995,0.62882,1.02993,0.0012872,0.0012872,0.0012872
20,289.872,0.79532,0.4537,0.95246,0.87878,0.88522,0.91985,0.71437,0.89326,0.63808,1.03499,0.0012476,0.0012476,0.0012476
21,303.801,0.79373,0.45502,0.95047,0.89363,0.90116,0.9279,0.72061,0.89849,0.5904,1.02561,0.001208,0.001208,0.001208
22,318.24,0.77405,0.43538,0.94524,0.87585,0.89604,0.89388,0.69484,0.89004,0.61724,1.03109,0.0011684,0.0011684,0.0011684
23,332.441,0.79063,0.44269,0.94556,0.91715,0.89505,0.91817,0.72026,0.87322,0.57096,1.03125,0.0011288,0.0011288,0.0011288
24,346.668,0.78554,0.44101,0.95298,0.90747,0.87459,0.90688,0.71421,0.86686,0.61639,1.04351,0.0010892,0.0010892,0.0010892
25,360.956,0.75709,0.42671,0.93859,0.89936,0.87003,0.91806,0.71999,0.88661,0.61296,1.0436,0.0010496,0.0010496,0.0010496
26,375.247,0.76003,0.42126,0.93897,0.91097,0.89489,0.92231,0.70653,0.9312,0.58961,1.04166,0.00101,0.00101,0.00101
27,389.424,0.75473,0.41475,0.94011,0.90114,0.88745,0.91691,0.73493,0.84566,0.58384,1.01432,0.0009704,0.0009704,0.0009704
28,403.767,0.74729,0.41443,0.93074,0.89847,0.90539,0.93083,0.72417,0.90297,0.57256,1.0308,0.0009308,0.0009308,0.0009308
29,418.16,0.76518,0.4155,0.94317,0.8986,0.89274,0.92108,0.72192,0.87644,0.58262,1.03209,0.0008912,0.0008912,0.0008912
30,432.393,0.74698,0.40222,0.92991,0.91535,0.89218,0.93519,0.73103,0.88303,0.54638,1.0183,0.0008516,0.0008516,0.0008516
31,446.382,0.74396,0.39912,0.93417,0.8915,0.88132,0.9179,0.72352,0.86718,0.58913,1.01437,0.000812,0.000812,0.000812
